;office_name;county_id;candidate_name;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote
154;SOIL AND WATER SUPERVISOR DISTRICT 4;11;DAVE HARDER                                    ;NP;72;72;9803;99.44
155;SOIL AND WATER SUPERVISOR DISTRICT 4;11;WRITE IN                                       ;WI;72;72;55;0.56
156;COUNTY COMMISSIONER DISTRICT 1;12;WAYNE SKOGRAND                                 ;NP;23;23;534;45.96
157;COUNTY COMMISSIONER DISTRICT 1;12;KENNETH F. KOENEN                              ;NP;23;23;626;53.87
158;COUNTY COMMISSIONER DISTRICT 1;12;WRITE IN                                       ;WI;23;23;2;0.17
159;COUNTY COMMISSIONER DISTRICT 2;12;ORVILLE MEINTS                                 ;NP;23;23;536;44.15
160;COUNTY COMMISSIONER DISTRICT 2;12;JEFFREY P. LOPEZ                               ;NP;23;23;675;55.6
161;COUNTY COMMISSIONER DISTRICT 2;12;WRITE IN                                       ;WI;23;23;3;0.25
162;COUNTY COMMISSIONER DISTRICT 4;12;JIM DAHLVANG                                   ;NP;23;23;1097;98.74
163;COUNTY COMMISSIONER DISTRICT 4;12;WRITE IN                                       ;WI;23;23;14;1.26
164;SOIL AND WATER SUPERVISOR DISTRICT 2;12;STEVE NOKLEBY                                  ;NP;23;23;5577;99.77
165;SOIL AND WATER SUPERVISOR DISTRICT 2;12;WRITE IN                                       ;WI;23;23;13;0.23
166;SOIL AND WATER SUPERVISOR DISTRICT 3;12;STEVEN SUNDERLAND                              ;NP;23;23;5469;99.74
167;SOIL AND WATER SUPERVISOR DISTRICT 3;12;WRITE IN                                       ;WI;23;23;14;0.26
168;SOIL AND WATER SUPERVISOR DISTRICT 5;12;ROBERT DIRKSEN                                 ;NP;23;23;5495;99.76
169;SOIL AND WATER SUPERVISOR DISTRICT 5;12;WRITE IN                                       ;WI;23;23;13;0.24
170;COUNTY COMMISSIONER DISTRICT 1;13;TOM DELANEY                                    ;NP;23;23;3022;85.83
171;COUNTY COMMISSIONER DISTRICT 1;13;WRITE IN                                       ;WI;23;23;499;14.17
172;COUNTY COMMISSIONER DISTRICT 3;13;BOB GUSTAFSON                                  ;NP;23;23;2313;52.44
173;COUNTY COMMISSIONER DISTRICT 3;13;NORA HOLT                                      ;NP;23;23;2091;47.4
174;COUNTY COMMISSIONER DISTRICT 3;13;WRITE IN                                       ;WI;23;23;7;0.16
175;COUNTY COMMISSIONER DISTRICT 5;13;MIKE ROBINSON                                  ;NP;23;23;1645;51.42
176;COUNTY COMMISSIONER DISTRICT 5;13;MAE KIEPER                                     ;NP;23;23;1538;48.08
177;COUNTY COMMISSIONER DISTRICT 5;13;WRITE IN                                       ;WI;23;23;16;0.5
178;SOIL AND WATER SUPERVISOR DISTRICT 2;13;ROLAND H CLEVELAND                             ;NP;23;23;16593;99.04
179;SOIL AND WATER SUPERVISOR DISTRICT 2;13;WRITE IN                                       ;WI;23;23;160;0.96
180;SOIL AND WATER SUPERVISOR DISTRICT 4;13;JOAN E. BARNES                                 ;NP;23;23;9911;58.01
181;SOIL AND WATER SUPERVISOR DISTRICT 4;13;JUSTIN L WILSON                                ;NP;23;23;7091;41.51
182;SOIL AND WATER SUPERVISOR DISTRICT 4;13;WRITE IN                                       ;WI;23;23;82;0.48
183;SOIL AND WATER SUPERVISOR DISTRICT 5;13;JOSEPH A EICHTEN                               ;NP;23;23;16760;99.28
184;SOIL AND WATER SUPERVISOR DISTRICT 5;13;WRITE IN                                       ;WI;23;23;122;0.72
185;COUNTY QUESTION 1;14;YES                                            ;NP;54;54;8894;43.79
186;COUNTY QUESTION 1;14;NO                                             ;NP;54;54;11415;56.21
187;COUNTY COMMISSIONER DISTRICT 1;14;BEN E BRUNSVOLD                                ;NP;54;54;2304;61.84
188;COUNTY COMMISSIONER DISTRICT 1;14;EDDIE BERNHARDSON                              ;NP;54;54;1390;37.31
189;COUNTY COMMISSIONER DISTRICT 1;14;WRITE IN                                       ;WI;54;54;32;0.86
190;COUNTY COMMISSIONER DISTRICT 2;14;JERRY C WALLER                                 ;NP;54;54;4276;99.03
191;COUNTY COMMISSIONER DISTRICT 2;14;WRITE IN                                       ;WI;54;54;42;0.97
192;COUNTY COMMISSIONER DISTRICT 5;14;MIKE (MAC) MCCARTHY                            ;NP;54;54;4470;98.83
193;COUNTY COMMISSIONER DISTRICT 5;14;WRITE IN                                       ;WI;54;54;53;1.17
194;SOIL AND WATER SUPERVISOR DISTRICT 1;14;JERRY GEE                                      ;NP;54;54;19313;99.4
195;SOIL AND WATER SUPERVISOR DISTRICT 1;14;WRITE IN                                       ;WI;54;54;116;0.6
196;SOIL AND WATER SUPERVISOR DISTRICT 2;14;CAROL J. SCHOFF                                ;NP;54;54;19021;99.44
197;SOIL AND WATER SUPERVISOR DISTRICT 2;14;WRITE IN                                       ;WI;54;54;108;0.56
198;SOIL AND WATER SUPERVISOR DISTRICT 5;14;DUANE JANSSEN                                  ;NP;54;54;19086;99.58
199;SOIL AND WATER SUPERVISOR DISTRICT 5;14;WRITE IN                                       ;WI;54;54;81;0.42
200;COUNTY COMMISSIONER DISTRICT 2;15;DEAN NEWLAND                                   ;NP;29;29;508;72.06
201;COUNTY COMMISSIONER DISTRICT 2;15;DAROL MELBY                                    ;NP;29;29;191;27.09
202;COUNTY COMMISSIONER DISTRICT 2;15;WRITE IN                                       ;WI;29;29;6;0.85
203;COUNTY COMMISSIONER DISTRICT 4;15;JOHN A NELSON                                  ;NP;29;29;478;58.65
204;COUNTY COMMISSIONER DISTRICT 4;15;DONN REICHERT                                  ;NP;29;29;335;41.1
205;COUNTY COMMISSIONER DISTRICT 4;15;WRITE IN                                       ;WI;29;29;2;0.25
206;SOIL AND WATER SUPERVISOR DISTRICT 1;15;BOB A. BILDEN                                  ;NP;29;29;3319;99.73
207;SOIL AND WATER SUPERVISOR DISTRICT 1;15;WRITE IN                                       ;WI;29;29;9;0.27
208;SOIL AND WATER SUPERVISOR DISTRICT 2;15;HARLAN STRANDLIEN                              ;NP;29;29;3269;99.76
209;SOIL AND WATER SUPERVISOR DISTRICT 2;15;WRITE IN                                       ;WI;29;29;8;0.24
210;SOIL AND WATER SUPERVISOR DISTRICT 5;15;PAUL IMLE                                      ;NP;29;29;3096;99.36
211;SOIL AND WATER SUPERVISOR DISTRICT 5;15;WRITE IN                                       ;WI;29;29;20;0.64
212;COUNTY QUESTION 1;16;YES                                            ;NP;12;12;624;22.88
213;COUNTY QUESTION 1;16;NO                                             ;NP;12;12;2103;77.12
214;COUNTY QUESTION 2;16;YES                                            ;NP;12;12;732;26.92
215;COUNTY QUESTION 2;16;NO                                             ;NP;12;12;1987;73.08
216;COUNTY COMMISSIONER DISTRICT 2;16;WALTER T. MIANOWSKI                            ;NP;12;12;378;98.44
217;COUNTY COMMISSIONER DISTRICT 2;16;WRITE IN                                       ;WI;12;12;6;1.56
218;COUNTY COMMISSIONER DISTRICT 4;16;GENE R. ERICKSON                               ;NP;12;12;235;40.66
219;COUNTY COMMISSIONER DISTRICT 4;16;CAROL GRESCZYK                                 ;NP;12;12;339;58.65
220;COUNTY COMMISSIONER DISTRICT 4;16;WRITE IN                                       ;WI;12;12;4;0.69
221;SOIL AND WATER SUPERVISOR DISTRICT 1;16;DON SIVERTSON                                  ;NP;12;12;2046;98.94
222;SOIL AND WATER SUPERVISOR DISTRICT 1;16;WRITE IN                                       ;WI;12;12;22;1.06
223;SOIL AND WATER SUPERVISOR DISTRICT 3;16;WRITE IN                                       ;WI;12;12;162;100
224;SOIL AND WATER SUPERVISOR DISTRICT 5;16;WAYNE N HENSCHE                                ;NP;12;12;1969;99.29
225;SOIL AND WATER SUPERVISOR DISTRICT 5;16;WRITE IN                                       ;WI;12;12;14;0.71
226;COUNTY COMMISSIONER DISTRICT 1;17;WENDY MEYER                                    ;NP;29;29;545;42.78
227;COUNTY COMMISSIONER DISTRICT 1;17;GARY SORENSON                                  ;NP;29;29;728;57.14
228;COUNTY COMMISSIONER DISTRICT 1;17;WRITE IN                                       ;WI;29;29;1;0.08
229;COUNTY COMMISSIONER DISTRICT 3;17;MARVIN EINERTSON                               ;NP;29;29;431;31.58
230;COUNTY COMMISSIONER DISTRICT 3;17;CHUCK SEVERSON                                 ;NP;29;29;934;68.42
231;COUNTY COMMISSIONER DISTRICT 3;17;WRITE IN                                       ;WI;29;29;0;0
232;COUNTY COMMISSIONER DISTRICT 4;17;KENNETH (KEN) ELG                              ;NP;29;29;662;58.74
