state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;49;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;ROBERT ERDRICH                                 ;NA;NA;NP;49;49;270;34.79;NA
MN;53;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;GARY (PETE) COWAN                              ;NA;NA;NP;40;40;25;2.93;NA
MN;53;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;DAVID J. EINCK                                 ;NA;NA;NP;40;40;87;10.2;NA
MN;53;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;JIM JOENS JR                                   ;NA;NA;NP;40;40;229;26.85;NA
MN;53;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;ALLYN SIMONICH                                 ;NA;NA;NP;40;40;225;26.38;NA
MN;53;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;DIANE THIER                                    ;NA;NA;NP;40;40;287;33.65;NA
MN;56;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;KEVIN WHIPPLE                                  ;NA;NA;NP;91;91;156;14.4;NA
MN;56;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;MEL O OLSON                                    ;NA;NA;NP;91;91;350;32.32;NA
MN;56;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;BOB BLOCK                                      ;NA;NA;NP;91;91;577;53.28;NA
MN;57;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JIM EFTELAND                                   ;NA;NA;NP;34;34;84;27.91;NA
MN;57;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;CHARLES NAPLIN                                 ;NA;NA;NP;34;34;184;61.13;NA
MN;57;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JENS K BACH                                    ;NA;NA;NP;34;34;33;10.96;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;JASON RARICK                                   ;NA;NA;NP;48;48;294;23.37;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;ED MONTBRIAND                                  ;NA;NA;NP;48;48;550;43.72;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;ALAN HANCOCK                                   ;NA;NA;NP;48;48;414;32.91;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;DALE LIUPAKKA                                  ;NA;NA;NP;48;48;175;12.97;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;FRANK SKAFF                                    ;NA;NA;NP;48;48;330;24.46;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;GREG BENNETT                                   ;NA;NA;NP;48;48;789;58.49;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;LLOYD ANTILLA                                  ;NA;NA;NP;48;48;55;4.08;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LARRY SEEK                                     ;NA;NA;NP;48;48;249;28.46;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TONY KOECHER                                   ;NA;NA;NP;48;48;102;11.66;NA
